n_clients,loss_rate,max_latency,mean_latency,mean_launch_time,clients_per_sec
50,0.26400000000000007,0.052719425,0.019915179239130432,0.0269912144,9239.183729688295
100,0.18400000000000005,0.11505678,0.039116348230392166,0.0744473236,10430.421510640836
150,0.2546666666666667,1.128768846,0.050191717991055484,0.198940984,11137.295601230819
200,0.21299999999999997,1.043159317,0.07182279264294797,0.2693218976,10957.524360162468
250,0.196,0.350234766,0.08215072275124365,0.4849747042,12233.611176412756
300,0.1273333333333333,0.460445346,0.07762051300687546,0.7869694683999999,16864.098796719518
