n_clients,loss_rate,max_latency,mean_latency,mean_launch_time,clients_per_sec
50,0.27,0.016952595,0.007099838726027397,0.012592116,4306.125404399739
100,0.37,0.028109024,0.010473083928571433,0.023499958,4482.5462456469495
150,0.44,0.051452466,0.01447135033333332,0.034070948,3265.14962373232
200,0.7125,7.659760467,0.4977499177565216,0.0458652425,15.013524312600413
250,0.692,1.42280614,0.055414553538961034,0.07722416700000001,108.23681151671161
300,0.8416666666666667,0.069093061,0.019442487,0.083615544,1374.9571755114455
