n_clients,loss_rate,max_latency,mean_latency,mean_launch_time,clients_per_sec
50,0.28,0.040975813,0.02185559088888888,0.034803564999999995,878.5670707741663
100,0.115,0.129307291,0.048929016045197726,0.0675258985,684.4161633546248
150,0.19333333333333333,0.219531745,0.08562402317355369,0.0996390425,551.1731344366619
200,0.1375,0.241826442,0.0726229347043479,0.3441179125,713.3214985646607
250,0.286,0.290518867,0.10772847094957978,0.356820206,614.4179269431062
300,0.17,0.242920225,0.06270371361847386,0.6308853665,2050.0557333173883
