n_clients,loss_rate,max_latency,mean_latency,mean_launch_time,clients_per_sec
50,0.24,0.086229818,0.0301705255131579,0.02691717,440.6828273718495
100,0.315,0.152762261,0.06445922937226274,0.04408151,448.4091787565254
150,0.2966666666666667,0.220346512,0.09021923692417051,0.16668579649999998,478.7913320815353
200,0.285,0.222867987,0.06515086244755246,0.37930235700000003,641.6354449326991
250,0.234,0.210280793,0.05314130389033943,0.609835832,910.687073545514
300,0.23333333333333334,1.076609643,0.11112736947608691,0.577409835,427.2672114641276
