n_clients,loss_rate,max_latency,mean_latency,mean_launch_time,clients_per_sec
50,0.28,0.062874737,0.019318638105555574,0.026692679000000004,9317.426985095619
100,0.16799999999999998,0.144135527,0.041184299074519266,0.0925957366,10100.936748912143
150,0.11733333333333329,0.210967215,0.048826570347432,0.18482542959999998,13558.191683123561
200,0.14599999999999994,1.293886642,0.07850658089110067,0.2892272744,10878.068950482182
250,0.09360000000000002,1.097005701,0.08170266276081214,0.4821140968,13867.3570935736
300,0.08933333333333338,1.146728872,0.09434488935505123,0.6911943135999999,14478.79169012841
